=== TASK 3 RESULTS (Variant 6) ===
x range: [10.0, 13.0], points: 500, eps: 0.001

x	approx	exact	abs_error	terms
10.0000	-0.544012	-0.544021	9.00e-06	17
10.0060	-0.549047	-0.549056	9.19e-06	17
10.0120	-0.554061	-0.554071	9.38e-06	17
10.0180	-0.559056	-0.559065	9.58e-06	17
10.0240	-0.564030	-0.564040	9.78e-06	17
10.0301	-0.568984	-0.568994	9.99e-06	17
10.0361	-0.573918	-0.573928	1.02e-05	17
10.0421	-0.578830	-0.578841	1.04e-05	17
10.0481	-0.583722	-0.583733	1.06e-05	17
10.0541	-0.588593	-0.588603	1.09e-05	17
10.0601	-0.593442	-0.593453	1.11e-05	17
10.0661	-0.598270	-0.598281	1.13e-05	17
10.0721	-0.603076	-0.603088	1.16e-05	17
10.0782	-0.607861	-0.607872	1.18e-05	17
10.0842	-0.612623	-0.612635	1.21e-05	17
10.0902	-0.617363	-0.617376	1.23e-05	17
10.0962	-0.622081	-0.622094	1.26e-05	17
10.1022	-0.626777	-0.626790	1.28e-05	17
10.1082	-0.631450	-0.631463	1.31e-05	17
10.1142	-0.636100	-0.636113	1.34e-05	17
10.1202	-0.640727	-0.640741	1.36e-05	17
10.1263	-0.645331	-0.645345	1.39e-05	17
10.1323	-0.649911	-0.649926	1.42e-05	17
10.1383	-0.654468	-0.654483	1.45e-05	17
10.1443	-0.659002	-0.659017	1.48e-05	17
10.1503	-0.663511	-0.663527	1.51e-05	17
10.1563	-0.667997	-0.668012	1.54e-05	17
10.1623	-0.672458	-0.672474	1.58e-05	17
10.1683	-0.676896	-0.676912	1.61e-05	17
10.1743	-0.681308	-0.681325	1.64e-05	17
10.1804	-0.685696	-0.685713	1.68e-05	17
10.1864	-0.690059	-0.690077	1.71e-05	17
10.1924	-0.694398	-0.694415	1.75e-05	17
10.1984	-0.698711	-0.698729	1.78e-05	17
10.2044	-0.702999	-0.703017	1.82e-05	17
10.2104	-0.707261	-0.707280	1.86e-05	17
10.2164	-0.711498	-0.711517	1.90e-05	17
10.2224	-0.715709	-0.715729	1.94e-05	17
10.2285	-0.719895	-0.719914	1.98e-05	17
10.2345	-0.724054	-0.724074	2.02e-05	17
10.2405	-0.728187	-0.728208	2.06e-05	17
10.2465	-0.732294	-0.732315	2.10e-05	17
10.2525	-0.736374	-0.736396	2.15e-05	17
10.2585	-0.740428	-0.740450	2.19e-05	17
10.2645	-0.744455	-0.744477	2.24e-05	17
10.2705	-0.748455	-0.748477	2.28e-05	17
10.2766	-0.752428	-0.752451	2.33e-05	17
10.2826	-0.756373	-0.756397	2.38e-05	17
10.2886	-0.760292	-0.760316	2.43e-05	17
10.2946	-0.764182	-0.764207	2.48e-05	17
10.3006	-0.768046	-0.768071	2.53e-05	17
10.3066	-0.771881	-0.771907	2.58e-05	17
10.3126	-0.775689	-0.775715	2.63e-05	17
10.3186	-0.779468	-0.779495	2.68e-05	17
10.3246	-0.783220	-0.783247	2.74e-05	17
10.3307	-0.786943	-0.786970	2.80e-05	17
10.3367	-0.790637	-0.790666	2.85e-05	17
10.3427	-0.794303	-0.794332	2.91e-05	17
10.3487	-0.797940	-0.797970	2.97e-05	17
10.3547	-0.801549	-0.801579	3.03e-05	17
10.3607	-0.805128	-0.805159	3.09e-05	17
10.3667	-0.808678	-0.808710	3.16e-05	17
10.3727	-0.812199	-0.812232	3.22e-05	17
10.3788	-0.815691	-0.815724	3.29e-05	17
10.3848	-0.819153	-0.819187	3.35e-05	17
10.3908	-0.822586	-0.822620	3.42e-05	17
10.3968	-0.825989	-0.826023	3.49e-05	17
10.4028	-0.829361	-0.829397	3.56e-05	17
10.4088	-0.832704	-0.832741	3.64e-05	17
10.4148	-0.836017	-0.836054	3.71e-05	17
10.4208	-0.839300	-0.839338	3.79e-05	17
10.4269	-0.842552	-0.842591	3.86e-05	17
10.4329	-0.845774	-0.845813	3.94e-05	17
10.4389	-0.848965	-0.849005	4.02e-05	17
10.4449	-0.852126	-0.852167	4.10e-05	17
10.4509	-0.855255	-0.855297	4.18e-05	17
10.4569	-0.858354	-0.858397	4.27e-05	17
10.4629	-0.861422	-0.861465	4.36e-05	17
10.4689	-0.864458	-0.864503	4.44e-05	17
10.4749	-0.867463	-0.867509	4.53e-05	17
10.4810	-0.870437	-0.870484	4.63e-05	17
10.4870	-0.873380	-0.873427	4.72e-05	17
10.4930	-0.876291	-0.876339	4.81e-05	17
